ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_30151,Figurentheater Federflug,,,"Wanderley, Alberto",Unterengstringen,,Unterengstringen,ZH,CH,x,,Unima,,a,?,,,,,x,x
AC_30152,Marionettenbühne Unterengstringen,MBU,,"Ruckli, Marlise u.a.",Unterengstringen,,Unterengstringen,ZH,CH,x,,x,,a,1972-,,,,,14 R <Sammelcouvert>,"1972, 1978, 1980, 1982, 1983, "
AC_30153,Freie Marionettenbühne Wengen,FMW,,"Bockholdt, Angelika",Wengen,,Wengen,BE,CH,www.wengen-marionetten.com,,Unima,,a,2001-,,,,,2 R <Sammelcouvert>,"(2011), 2012"
AC_30154,Kasperlibühne Binocolo,Marionettentheater Bincolo,,"Beck, Dieter",Wettingen,,Wettingen: Marionettentheater Binocolo,AG,CH,www.kasperlibühne-binocolo.ch,,x,,a,?,Marionettentheater Binocolo,,,,1 R <Sammelcouvert>,(1990)-(1990)
AC_30155,Figurentheater Wettingen,Marionettenbühne Wettingen,,"Périllard-Gmür, Rita + Kyburz, Toni",Wettingen,,Wettingen: Marionettenbühne Wettingen,AG,CH,www.figurentheater-wettingen.ch,,x,,a,1979-,,,,,1 C,1982-
AC_30156,Theater Sven Mathiasen,,,"Mathiasen, Sven",Wettingen,,"Mathiasen, Sven",AG,CH,www.mathiasen.ch,,Unima     KTV,,a,?,,,,,x,x
AC_30157,Marionettenbühne Fredi Hostettler,,,"Hostettler, Alfred + Dovlo, Christine + Dovlo, Sarah",Wetzikon,,Wetzikon,ZH,CH,x,,x,,na,?,,Wetziker Marionetten,,,x,x
AC_30158,Wetziker Marionetten,,,"Muggli, Sergio + Muggli, Erika + Honegger, Werner",Wetzikon,,?,ZH,CH,wetziker-marionetten.ch,,x,,a,?,Marionettenbühne Fredi Hostettler,,,,2 R <Sammelcouvert>,"(1991),  2004"
AC_30159,Puppenbühne Wildhaus,Puppentheater Wildhaus,inkl. Puppenverein,?,Wildhaus,,Wildhaus,SG,CH,https://puppenbuehne-wildhaus.ch,,x,,a,(noch existent?),,,,,13 R <Sammelcouvert>,(1986)-(1994)
AC_30160,Kunst & Kiste PmbH,,,x,Winterthur,,Winterthur,ZH,CH,x,,x,,na,?,,,,,1 C,(1977)-?
