ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFLS_94,Verdi Openair Classic Wil ,Openair Classic Wil; Verdi-Open-Air Classic,,x,Wil SG,,Wil SG,SG,CH,www.openair-classic-wil.ch,,x,,a,2001-,,,,,1 C,"(2004), 2010, 2016"
EFLS_95,Freilichtspiel Winterthur,,,x,Winterthur,,Winterthur (ZSV),ZH,CH,www.freilichtspiel.ch,,,,,,,,,,,
EFLS_96,<Tellaufführung 189>,<Tell-Aufführung 1891>,,x,Winterthur-Seen,,Winterthur,ZH,CH,,,x,,na,1891,,,,,9 R <Sammelcouvert>,"1891, (1979)"
EFLS_97,Waldtheater am Reitplatz,,,x,Winterthur,,Winterthur,ZH,CH,x,,x,,na,?,,,,,1 C,(1957)-?
EFLS_98,Zwillmatthof,,Freilichtspiel,x,Wisen SO,,Wisen SO,SO,CH,www.zwillmatt.ch,,,,a,?,,,,,6 R <Sammelcouvert>,"(2007),  2008, 2009, 2012, "
EFLS_99,PuPäät,,"Waldtheater der Gebrüder Muntwyler, Niklaus und Andreas",x,Wohlen AG,,Wohlen AG,AG,CH,x,,x,,na,2006,,,,,1 C,2006
EFLS_100,Freilichtaufführungen divers <keine Bestandsaufnahme>,,,x,,,,,,,,,,,,,,,,,
EFLS_101,Freilichtspiele Zermatt,,The Matterhorn Story ; Rome und Julia am Gornergrat,,Zermatt,,Zermatt (ZSV),VS,CH,www.freilichtspiele-zermatt.ch,na,x,,a,2015-,,,,,,
EFLS_102,Freilichtaufführungen St. Peterhofstatt,,,x,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,"(1954), 1974-1978, (1989)"
EFLS_103,Güterbahnhof,Alter Güterbahnhof,,x,Zürich (Altstetten),,Zürich,ZH,CH,x,,x,,na,1983,,,,,1 C,1983
EFLS_104,Sommertheater der Präsidialabteilung der Stadt Zürich,,,x,Zürich,,Zürich: Präsidialabteilung,ZH,CH,x,,x,,na,?,,,,,1 S,"1972, 1973-1975, 1977-1980, 1981-1983"
EFLS_105,Sommertheater des Bernhardtheaters,,,x,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,"(1976), 1977, 1984, 1987, 1988, 1990, 1995)"
EFLS_106,Freilichtspiele auf der Burg,,,x,Zug,,Zug,ZG,CH,x,,x,,na,?,,,,,1 C,(1960)-(1966)
EFLS_107," ""Dr. Franzos im Ybrig""",,Freilichttheater ; 1988,x,"Zug: Freilichttheater ""Dr. Franzos im Ybrig""",,Zug,ZG,CH,x,,x,,na,1998,,,,,1 C,1998
EFLS_108,<Zuozer Freilichtspiel Brüder Travers>,,1945,x,Zuoz,,Zuoz,GR,CH,x,,x,,na,1945,,,,,7 R <Sammelcouvert>,1945
