ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFS_91,"<Festspiel ""Die Jäger der Zeit"">",<Festspiel 100-Jahre Passuger Quellen>,Passuger-Quellen-Festspiel 1996,Passug,,"Passug: ""Die Jäger der Zeit"" <Passuger-Quellen-Festspiel 1996>",GR,CH,x,,na,1996,,,,,9 R <Sammelcouvert>,1996
EFS_92,"<Festspiel ""Le Pendu de l'Abbatiale"", célébration 700e, Reine Berthe 1991>",,1991,Payerne,,"Payerne: ""Le Pendu de l'Abbatiale"" <célébration 700e, Reine Berthe>",VD,CH,x,,na,1991,,,,,3 R <Sammelcouvert>,1991
EFS_93,"<Festspiel zur Neat-Eröffnung ""Sacre del Gottardo"" 2016>",,2016,Poleggio ; Schattdorf (Rynäch),,Pollegio: Sacre del Gottardo ; Schattdorf: Sacre del Gottardo,TI ; UR,CH,www.gottardo2016.ch,,na,2016,,,,,1 C,(2016)-
EFS_94,<Rütli Jubiläums-Tell 2004>,Rütli-Tell,Deutsches Nationaltheater Weimar DNT ; Stephan Märki ; 2004,Seelisberg,,Rütli,UR,CH,x,,na,2004,,,,,1 C,(2002)-2004
EFS_95,"<Visionsgedenkspiel 600 Jahre Niklaus von Flüe Sachseln: ""vo innä uisä"" 2017>",,2017,Sachseln,,noch nicht STS,OW,CH,www.mehr-ranft.ch/projekt/visionsgedenkspiel,,na,2017,,,,,,
EFS_96,<Festspiel L'Abbaye de Saint-Maurice 1500e>,,2015,Saint-Maurice,,Saint-Maurice: L'Abbaye de Saint-Maurice <1500e>,VS,CH,x,,na,2015,,,,,2 R <Sammelcouvert>,2015
EFS_97,<Festspiel 750e Anniversaire de Saint-Prex 1984>,,1984,Saint-Prex,,Saint-Prex: 750e Anniversaire de Saint-Prex,VD,CH,x,,na,1984,,,,,3 R <Sammelcouvert>,1984
EFS_98,<Bruder Klausenspiel Sarnen>,,"Eberle, Oskar ; 1939",Sarnen,,Sarnen,OW,CH,x,,na,1939,,,,,2 R <Sammelcouvert>,1939
EFS_99,<Festspiel ForzaSurselva>,,2007,"Schischiu (Rueun, Siat)",,"Schischiu (Rueun, Siat) (ZSV)",GR,CH,x,,na,2007,,,,,,
EFS_100,Festspiel 600 Jahre Schlacht bei Sempach und 600 Jahre Stadt und Land Luzern,Sempacher Festspiel 1986,1986,Sempach,,Sempach,LU,CH,x,,na,1986,,,,,1 C,(1984)-1986
EFS_101,"Festspiel Stäfa: ""De Stääfner Handel""",,1995,Stäfa,,Stäfa: Festspiel Stäfa (ZSV),ZH,CH,x,,na,1995,,,,,,
EFS_102,Ballonade,,700-Jahr-Feier Eidgenossenschaft auf dem Klosterplatz ; 1991,St. Gallen,,St. Gallen,SG,CH,x,,na,1991,,,,,1 C,1991
EFS_103,"<Festspiel 1954 ""Unser Bär im Bund"">",,,St. Gallen,,St. Gallen,SG,CH,x,,na,1954,,,,,1 C,1954
EFS_104,<Festspiel zur 150-Jahr-Feier St. Gallen 1953>,<St. Galler Bundesspiel 1953>,1953,St. Gallen,,St. Gallen,SG,CH,x,,na,1953,,,,,1 C,1953
EFS_105,"<Festspiel 1981 ""Die Jahrhunderttreppe"">",,1981,Solothurn,,Solothurn,SO,CH,x,,na,1981,,,,,1 C,(1977)-1981
EFS_106,<Freilichtspiel Stanser Verkommnis 500-Jahr-Feier 1981>,,1981,Stans,,Stans,NW,CH,x,,na,1981,,,,,8 R <Sammelcouvert>,1981
EFS_107,Oh Tavanasa,,1250-Jahr-Feier Tavanas ; 2015,Tavanasa,,Danis-Tavanasa,GR,CH,x,,na,2015,,,,,4 R <Sammelcouvert>,2015
EFS_108,"<L'Afaire de Thierrens: commémoiration, 700e, 1798>",,1798,Thierrens,,Thierrens,VD,CH,x,,na,1991,,,,,6 R <Sammelcouvert>,1991
EFS_109,Les Brigands du Jorat,,1998,Thierrens,,Thierrens,VD,CH,x,,na,1998,,,,,4 R <Sammelcouvert>,1998
EFS_110,"<Kleist in Thun 2011 , 200. Todesjahr>",,2011,Thun,,Thun: Kleist in Thun 2011,BE,CH,x,,na,2011,,,,,1 C,2011
EFS_111,Passiun 2003,Passionsspiele 2003,Freilichtaufführung ; 2003,Vella,,Vella,GR,CH,x,,na,2003,,,,,,
EFS_112,Argos Project: 100 regards sur la création contemporaine,,2000 ; kein eigentlichs Festspiel,Vevey,,Vevey,VD,CH,x,,na,2000,,,,,1 C,2000
EFS_113,Fête des Vignerons,,,Vevey,,Vevey,VD,CH,www.fetedesvignerons.ch,,a,"1647 <erstmals belegt, aber schon früher>",,,,,2 S,"(1889), 1927, 1955, 1977, 1999, <1905 fehlt>"
EFS_114,Tell et Tell 1991,,1991,Vevey,,Vevey,VD,CH,x,,na,1991,,,,,1 C,1991
EFS_115,<Festspiel Weinfelden 1991>,,1991,Weinfelden,,Weinfelden (ZSV),TG,CH,x,,na,1991,,,,,,
EFS_116,Thomas-Bornhauser-Feier 1931,,,Weinfelden,,Weinfelden,TG,CH,x,,na,1931,,,,,,
EFS_117,Freilichtspiel 800 Jahre Wil,,Freilichtspiel 2016,Wil SG,,Wil SG: Wil 800-Jahr-Feier (ZSV),ZH,CH,x,,na,2016,,,,,,
EFS_118,Heilig-Blut-Legende 2013,,2013 ; Louis Naef,Willisau,,Willisau,LU,CH,x,,na,2013,,,,,2 R <Sammelcouvert>,(2012)-2013
EFS_119,<Festspiel Hauenstein Tunnel 100 Jahre>,,"2014 ; Steinbruch, Chänel",Wisen,,"Wissen: Hauenstein Tunnel 100 Jahre <Steinbruch, Chänel>",SO,CH,x,,na,2014,,,,,4 R <Sammelcouvert>,(2013)-2014
EFS_120,"<1200 Jahre Wiesendangen: ""De Vogelhändler vo Wasewachs"">",,2004,Wiesendangen,,Wiesendangen: 1200 Jahre Wiesendangen (ZSV),ZH,CH,x,,na,2004,,,,,x,x
EFS_121,<Windisch Festspiele 1986: 2000 Jahre Windisch>,,1986,Windisch,,Windisch,AG,CH,x,,na,1986,,,,,1 C,1986
EFS_122,Würenloser Chronikspiel 1970,,Festspiel 1200-Jahr-Feier Würenlos ; 1970,Würenlos,,Würenlos: Theatergemeinschaft Würenlos,AG,CH,x,,na,1970,,,,,x,x
EFS_123,Laina Viva,,Freilichtspektakel zu 100 Jahre Schweizer Nationalpark ; 2014,Zernez,,Zernez,VS,CH,www.nationalpark.ch/lainaviva/,,na,2014,,,,,1 C,2014
EFS_124,"<Dada Festwochen 2003, 2004",,100-Jahr-Jubiläum 2016,Zürich,,Zürich: Cabaret Voltaire,ZH,CH,x,,na,"2002-2004, 2016",,,,,x,x
EFS_125,"""Die Akte Zwingli""",,Festspiel zum Reformationsjubiläum ; 2017,Zürich,,Zürich,ZH,CH,x,,a,2017,,,,,1 C,(2016)-(2016)
EFS_126,"<Festspiel Eidg. Musikfest ""Das Zürcher Glockenspiel"">",,1957,Zürich,,Zürich,ZH,CH,x,,na,1957,,,,,1 C,1957
EFS_127,"<Festspiel, Ausstellungstheater, div. Schweizerische Landesausstellung 1939>",,1939,Zürich,,Zürich: Schweizerische Landesausstellung 1939,ZH,CH,x,,na,1939,,,,,1 C,1939
EFS_128,Modetheater,,Schweizerische Landesausstellung,Zürich,,Zürich: Schweizerische Landesausstellung 1939,ZH,CH,x,,na,1939,,,,,1 C,1939
EFS_129,Christusspiel Zurzach 1949,,1949,Zurzach,,Zurzach,AG,CH,x,,na,?,,,,,5 R <Sammelcouvert>,1949
EFS_130,Verenaspiel,Verena-Spiel,1945 ; 2005,Zurzach,,Zurzach,AG,CH,,,a,?,,,,,2 R <Sammelcouvert>,"(1945), 2005"
EFS_131,Konzilfestspiele Konstanz 2016,,2016,Konstanz,,D: Konstanz,,D,www.konstanzer-konzil.de,,na,2016,,,,,1 C <Sammelcouvert>,x
