ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Bod_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_41422,Theater in Mittelhäusern,<Theatergruppe Scherlibachchor>,,Mittelhäusern,,Mittelhäusern,BE,CH,x,,x,a,?,,,,,,
AC_41423,Lehrertheater Möhlin,Lehrer-Theater Möhlin,,Möhlin,,Möhlin,AG,CH,www.lehrertheater.ch,,x,a,?,,,,,,
AC_41424,Novi-10-Bühne,,,Möhlin,,Möhlin <nicht ZSV>,AG,CH,x,,x,a,(noch existent?),,,,,3 R <Sammelcouvert>,"(1997), 2000, 2001"
AC_41425,Verein Anna-Göldi Festspiele,,,Mollis,,Mollis,GL,CH,x,,x,na,2010,,,,,,2010
AC_41426,Theaterverein Mönchaltorf,,,Mönchaltorf,,Mönchaltorf,ZH,CH,www.thvm.ch,,RVA,a,1990-,,,,,,
AC_41427,Theatergruppe des Turnvereins Mönthal,,,Mönthal,,Mönthal,AG,CH,www.stv-moenthal.ch,,x,a,?,Turnverein Mönthal,,,,,
AC_41428,<Theatergruppe Turnverein Mönthal>,,,Mönthal,,Mönthal,AG,CH,,,x,na,?,,Theatergruppe des Turnvereins Mönthal,,,,
AC_41429,Compagnie Hercule-Savinien,,,Mont-sur-Rolle,,Mont-sur-Rolle <nicht ZSV>,VD,CH,x,,FSSTA,a,?,,,,,2 R <Sammelcouvert>,"(2014), 2015"
AC_41430,Compagnie de l’US Montfaucon,Compagnie Union Sportive de Montfaucon,,Montfaucon,,Montfaucon <nicht ZSV>,JU,CH,www.usm-foot.ch,,FSSTA,a,?,,,,,1 C,(2001)-
AC_41431,Tréteaux du Bourg,,,Monthey,,Monthey <nicht ZSV>,VS,CH,x,,FSSTA,a,?,,,,,1 C,(1990)-
AC_41432,Théâtre Ouvre-Boîte,,,Montpreveyres,,Montpreveyres <nicht ZSV>,VD,CH,www.monouvreboite.com,,FSSTA,a,?,,,,,1 R <Sammelcouvert>,(2015)-
AC_41433,Société théâtrale de Montsevelier,,,Montsevelier,,Montsevelier <nicht ZSV>,JU,CH,x,,x,a,(noch existent?),,,,,3 R <Sammelcouvert>,(2001)-(2002)
AC_41434,Theatergruppe 86 Moosseedorf,,,Moosseedorf,,Moosseedorf,BE,CH,x,,Amathea,a,?,,,,,,
AC_41435,Freilicht Theater Moosegg,FLT Moosegg,,Moosegg,,Moosegg,BE,CH,www.leu-theater.ch,,x,na,1997-2016,,,,,,
AC_41436,Freilichtspiele Moosegg,,,Moosegg,,Moosegg,BE,CH,www.freilichtspielemoosegg.ch,,x,a,2017-,,,,,,
AC_41437,Artinscena ,,,Morbio,,Morbio <nicht ZSV>,TI,CH,www.artinscena.com,,FFSI,a,2004-,,,,,x,x
AC_41438,Bühne Mörel,,,Mörel,,Mörel,VS,CH,www.buehne-moerel.ch,,Amathea,a,1976-,Regionale Laienbühne Mörel,,,,,
AC_41439,<Theatergruppe OS Aletsch>,<Theatergruppe Orientierungsschule Aletsch>,,Mörel,,Mörel: OS Aletsch,VS,CH,www.schule-aletsch.ch,,x,a,?,,,,,,
AC_41440,Regionale Laienbühne Mörel ,,,Mörel,,Mörel,VS,CH,x,,VSDW,na,?,,Bühne Möre,,,,
AC_41441,Compagnie Trois P'tits Tours,,,Morges,,Morges: Théâtre Trois P'tits Tours <nicht ZSV>,VD,CH,www.troispetitstours.ch,,x,a,1959-,,,,,1 C,(1980)-
AC_41442,<Groupe théâtral Gymnase de Morges>,Atelier-Théâtre,,Morges,,Morges: Gymnase de Morges <nicht ZSV>,VD,CH,www.gymnase-morges.ch,,y,a,?,,,,,1 C,"(1995), 1996"
AC_41443,Theaterbühne Mörigen,,,Mörigen,,Mörigen,BE,CH,www.tbmörigen.ch,,Amathea,a,1998-,,,,,,
AC_41444,Operette Möriken-Wildegg,,,Möriken,,Möriken,AG,CH,www.operette.ch,,x,a,1927-,,,,,,
