Bemerkungen,Drucker,Grafiker,Masse,Plakatart,RepertorienID,Signatur,Technik,tempID,Verso
Reprise à partir du 10.3.81 puis à Paris à partir du 1.6.82 : Paris: Le Petit Montparnasse,"A.Groux, Lausanne",,49.0 x 34.00 cm,Stückplakat,100051980052001,PL 003.020,Offsetdruck,127,
,"A.Groux, Lausanne",,51.5 x 37.0 cm,Stückplakat,100051988041901,PL 003.023,Offsetdruck,128,
Concert burlesque. Premierendatum: 9.12.1977,A. Groux Lausanne,,50.3 x 35.0 cm,Spielplanplakat,100051977120101,PL 003.024,Offsetdruck,129,
,A. Groux Lausanne,,50.0 x 34.4 cm,Spielplanplakat,100051978012401,PL 003.025,Offsetdruck,130,
20 supplémentaires à partir du 19.9.78,"A.Groux, Lausanne",,50.5 x 36.0 cm,Stückplakat,100051978041801,PL 003.026,Offsetdruck,131,
Premierendatum: 19.9.1978,A. Groux Lausanne,,"50,0 x 35.0 cm",Stückplakat,100051978041801,PL 003.027,Offsetdruck,132,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051978110301,PL 003.028,Offsetdruck,133,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051991110501,PL 003.029,Offsetdrucki,134,
Plusieurs reprises en 1992. Premierendatum: 10.1.1992,A. Groux Lausanne,,50.5 x 35.0 cm,Stückplakat,100051991110501,PL 003.031,Offsetdruck,135,
Plusieurs reprises en 1992. Premierendatum: 23.4.1992,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051991110501,PL 003.032,Offsetdruck,136,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051992031701,PL 003.033,Offsetdruck,137,
Reprise du 8 au 19 décembre 1992,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051992052901,PL 003.034,49.8 x 63.5 cm,138,
Premierendatum: 5.10.1992,A. Groux Lausanne,,50.0 x 35.0 cm,Spielplanplakat,100051992092901,PL 003.035,Offsetdruck,139,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051992102701,PL 003.036,Offsetdruck,140,
Premierendatum: 21.1.1993,A. Groux Lausanne,,53.0 x 35.0 cm,Spielplanplakat,100051993011201,PL 003.038,Offsetdruck,141,
Plusieurs reprises de 1994 à 1996,A. Groux Lausanne,,53.0 x 35.0 cm,Stückplakat,100051993042701,PL 003.039,Offsetdruck,142,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051975101001,PL 003.041,Offsetdruck,143,
Premierendatum: 11.11.1975,A. Groux Lausanne,,49.8 x 34.5 cm,Spielplanplakat,100051975103101,PL 003.042,Offsetdruck,144,
,A. Groux Lausanne,,49.5 x 34.7 cm,Spielplanplakat,100051975112001,PL 003.043,Offsetdruck,145,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Spielplanplakat,100051976021101,PL 003.044,Offsetdruck,146,
"Zusammen mit ""Un léger Accident"" (Collection ""Humour"")",A. Groux Lausanne,,49.5 x 35.0 cm,Spielplanplakat,100051976043002,PL 003.045,Offsetdruck,147,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051976120201,PL 003.046,Offsetdruck,148,
Prod. Truppe: 00: Les Jeannes; reprise (8 supplémentaires) dès le 12.11.77,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051977032501,PL 003.047,Offsetdruck,149,
"12 supplémentaires dès le 23.9.77 (Collection ""Humour"")",A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051977051701,PL 003.048,Offsetdruck,150,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051990100201,PL 003.049,Offsetdruck,151,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051990103001,PL 003.050,Offsetdruck,152,
Spectacle présenté à Genève au Casino-Théatre dès le 8.3.1991; Prod. Truppe: Co-prod.: Pierre Naftule (Genève),A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051991012901,PL 003.051,Offsetdruck,153,
Prod. Truppe: Spectacles Edgar-Alain Mallet,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051991092401,PL 003.052,Offsetdruck,154,
,A. Groux Lausanne,,48.8 x 35.4 cm,Stückplakat,100051983012601,PL 003.053,Offsetdruck,155,
,A. Groux Lausanne,,49.7 x 34.4 cm,Stückplakat,100051983021901,PL 003.054,Offsetdrucket,156,
,A. Groux Lausanne,,47.2 x 34.0 cm,Stückplakat,100051983042001,PL 003.055,Offsetdruck,157,
,A. Groux Lausanne,,46.5 x 32.5 cm,Spielplanplakat,100051983101101,PL 003.056,Offsrtdruck,158,
Premierendatum: 15.12.1983. Prod. Truppe: Les marionettes Elzévir,A. Groux Lausanne,,47.5 x 33.3 cm,Spielplanplakat,100051983112901,PL 003.057,Offsetdruck,159,
,A. Groux Lausanne,,47.0 x 35.0 cm,Stückplakat,100051982102801,PL 003.058,Offsetdruck,160,
"Zusammen mit ""Un garçon de chez Véry""",A. Groux Lausanne,,50.0 x 35.0 cm,Stückplakat,100051989111402,PL 003.059,Offsetdruck,161,
,A. Groux Lausanne,,50.0 x 35.0 cm,Spielplanplakat,100051989092601,PL 003.060,Offsetdruck,162,
Prod. Truppe: Fribourg: Cabaret Chaud 7,A. Groux Lausanne,,50.5 x 35.0 cm,Spielplanplakat,100051990012301,PL 003.061,Offsetdruck,163,
,A. Groux Lausanne,,49.7 x 35.0 cm,Stückplakat,100051989122701,PL 003.062,Offsetdruck,164,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051972012104,PL 003.063,Offsetdruck,165,
"Collection ""Humour""",A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051971041601,PL 003.064,Offsetdruck,166,
"Zusammen mit ""L'Azote"" (Collection ""Humour"")",A. Groux Lausanne,,50.3 x 35.2 cm,Stückplakat,100051970121102,PL 003.066,Offsetdruck,167,
Reprise 5.10.1972,A. Groux Lausanne,,49.7 x 35.0 cm,Spielplanplakat,100051972050501,PL 003.067,Offsetdruck,168,
,A. Groux Lausanne,,50.0 x 35.0 cm,Stückplakat,100051973051001,PL 003.068,Offsetdruck,169,
Zusammen mit “William et Mary”; Collection “Humour”,A. Groux Lausanne,,54.0 x 33.2 cm,Stückplakat,100051974041901,PL 003.069,Offsetdruck,170,
"Premiere: Nov. 1972. Plusieurs reprises, tournées, de 1972 à 1974",A. Groux Lausanne,,"50,0 x 35,3 cm",Stückplakat,10005nodate06,PL 003.070,Offsetdruck,171,
,A. Groux Lausanne,,50.0 x 34.5cm,Spielplanplakat,100051972050501,PL 003.071,Offsetdruck,172,
"12 supplémentaires dès le 23.9.77 (Collection ""Humour"")",A. Groux Lausanne,,52.5 x 35.0 cm,Spielplanplakat,100051977051701,PL 003.072,Offsetdruck,173,
,A. Groux Lausanne,,59.2 x 35.7 cm,Spielplanplakat,100051977110101,PL 003.074,Offsetdruck,174,
,A. Groux Lausanne,,50.0 x 35.0 cm,Stückplakat,100051990031501,PL 003.075,Offsetdruck,175,
,A. Groux Lausanne,,"50,0 x 36.0",Stückplakat,100051987031001,PL 003.076,Offsetdruck,176,
,A. Groux Lausanne,,49.0 x 35.0 cm,Spielplanplakat,100051986102001,PL 003.077,Offsetdruck,177,
,A. Groux Lausanne,,"50,0 x 35.7 cm",Stückplakat,100051986091101,PL 003.078,Offsetdruck,178,
,A. Groux Lausanne,,50.5 x 34.6 cm,Stückplakat,100051997020401,PL 003.079,Offsetdruck,179,
,A. Groux Lausanne,,51.5 x 34.8 cm,Spielplanplakat,100051995110801,PL 003.080,Offsetdruck,180,
Premiere: 8.11.1995,A. Groux Lausanne,,52.0 x 34.6 cm,Stückplakat,100051995110801,PL 003.082,Offsetdruck,181,
Plusieurs reprises en 1996 et 1997,A. Groux Lausanne,,52.0 x 34.4. cm,Stückplakat,100051995110801,PL 003.083,Offsetdruck,182,
,A. Groux Lausanne,,"50,0 x 35,0 cm",Stückplakat,100051995091401,PL 003.084,Offsetdruck,183,
,A. Groux Lausanne,,52.5 x 36.0 cm,Spielplanplakat,100051995050901,PL 003.085,Offsetdruck,184,
