ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Typ,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G,
AC_110052,Cirque Eloize,,,Montréal,,"Zirkus: Diverse A-Z: Lausanne (eigentlich Montréal, nur Gastspiel)",Zirkus,,CA,www.cirque-eloize.com,,x,a,?,,,,,1 R <Sammelcouvert>,(2004)-,
AC_110053,Circus Conelli,,,Lipperswil,,Zirkus: Vereinzelte A-Z: Zürich,Weihnachtszirkus,TG,CH,www.circus-conelli.ch,,x,a,?,,,,,1 C,(1982)-,
AC_110054,Circus Royal,,,Lipperswil,,Zirkus: Vereinzelte A-Z: Lipperswil,Zirkus,TG,CH,www.circusroyal.ch,,x,a,1966-,,,,,1 C,(1968)-,
AC_110055,Pitypallati,,,Lommiswil,,Zirkus: Kinderzirkus: Lommiswil,Kinderzirkus,SO,CH,www.pitypalatty.ch,,x,a,?,,,,,1 R <Sammelcouvert>,(2016)-,
AC_110056,Kinderzirkus Lollypop,Zirkus Lollypop,,Lüen,,Zirkus: Chur,Kinderzirkus,GR,CH,www.lollypop-galaxys.ch/zirkus-lollypop.html,,x,a,1994-,,,,,x,x,
AC_110057,Circus Oriental,,,Luzern,,Zirkus: Vereinzelte A-Z: Luzern,Weihnachtszirkus,LU,CH,x,,x,na,?,,,,,1 C,(1987)-(1989),
AC_110058,Compagnie Trottvoir,,,Luzern,,Luzern: Compagnie Trottvoir,Strassenzirkus,LU,CH,www.trottvoir.ch,,x,a,2012-,,,,,1 C,(2015)-,
AC_110059,Jugendzirkus Tortellini,JZT,,Luzern,,Zirkus: Diverse A-Z: Luzern,Kinderzirkus,LU,CH,www.tortellini.ch,,x,a,1987-,,,,,2 R <Sammelcouvert>,"(1999), (2004)",
AC_110060,Zirkus Pilatus,Arena Pilatus,,Luzern,,Zirkus: Vereinzelte A-Z: Luzern,x,LU,CH,x,,x,na,?,,,,,1 C,"(1942), (1955), (1958)",
AC_110061,Cirkus Giroldon,,,Maggia,,Zirkus: Diverse A-Z (ohne Ort),Kleinzirkus,TI,CH,www.cirkusgiroldon.ch,,x,a,-2001,,,,,1 R <Sammelcouvert>,-2001,
AC_110062,Cirque Scout,,,Marly,,Zirkus: Diverse A-Z: Marly,Zirkus,FR,CH,x,,x,na,?,,,,,2 R <Sammelcouvert>,-1985,
AC_110063,Ringland,Cirque Ringland,,Dorénaz bei Martigny,,Zirkus: Diverse A-Z: Meyrin,Zirkus,GE,CH,www.ringland.ch,,x,a,1993-,,,,,2 R <Sammelcouvert>,(1993)-,
AC_110064,Circus Stellina,,,Montricher,,Zirkus: Vereinzelte A-Z: Montricher,Variétézirkus,VD,CH,x,,x,na,1988?-2005,,,,,1 C,(1988)-2005,
AC_110065,Cirque Helvetia bereinigen mit Circus Helvetia unter Bussigny,,,Moudon,,Zirkus: Gimel,Zirkus,FR,CH,www.cirque-helvetia.ch,,x,a,?,,,,,,,
AC_110066,Circus Gypsy,,,Muri AG,,Zirkus: Vereinzelte A-Z: Muri,Kleinzirkus,AG,CH,x,,x,na,1989-1991?,,,,,1 C,1989-(1991),
AC_110067,La Compagnie l'Elastique citrique,Cie l'Elastique citrique,,Nyon,,Zirkus: Diverse A-Z: Nyon: La Compagnie l'Elastique citrique,Zirkustruppe,VD,CH,www.lelastiquecitrique.ch,,x,a,2006-,,,,,2 R <Sammelcouvert>,(2006)-,
AC_110068,Circus Nock,,,Oeschgen,,Zirkus: Oeschgen,Zirkus,AG,CH,www.nock.ch,,x,a,ca. 1860,,,,,1 S,(1970)-,
AC_110069,Jugendzirkus Otelli,,,Otelfingen,,noch nicht in STS,Kinderzirkus,ZH,CH,www.otelli.ch,,x,a,1986-,,,,,noch nicht in STS,noch nicht in STS,
AC_110070,Jugendzirkus Prattelino,,,Pratteln,,Zirkus: Diverse A-Z: Pratteln,Kinderzirkus,BL,CH,www.prattelino.ch,,x,a,?,,,,,2 R <Sammelcouvert>,(1994)-,
AC_110071,Knie,Zirkus Knie; Circus Knie; Schweizer National-Circus Knie,Gebrüder Knie Schweizer National-Circus ,Rapperswil,,Zirkus: Rapperswil: Zirkus Knie,Zirkus,SG,CH,www.knie.ch,,x,a,1919-,,,,,4 S,(1919)-,
AC_110072,Circus Alfredo Nock,,,Rheinfelden AG,,Zirkus: Vereinzelte A-Z: Rheinfelden,Zirkus,AG,CH,x,,x,na,"1976-1978, später Zeltvermietung bis 2014",,,,,1 C,1978-(1985),
